byta, ändra | cambiar
resa | viajar
köpa | comprar
avsluta | terminar
betala | pagar (pago)
återvända | regresar
gå, promenera | caminar
hitta, träffa | encontrar /ue/
komma ihåg | recordar /ue/
börja | empezar /ie/
sjunga | cantar
dansa | bailar
spela, leka | jugar /ue/
simma | nadar
vila | descansar
anlända | llegar (llego)
förbereda | preparar
önska | desear
tvätta | lavar
svara | contestar
bjuda in | invitar
skicka, beordra | mandar
förneka | negar /ie/
presentera | presentar
spela (ett instrument) | tocar
besöka | visitar
glömma | olvidar
laga mat | cocinar
tala | hablar
arbeta | trabajar
titta | mirar
lyssna | escuchar
hjälpa | ayudar
studera | estudiar
vänta, hoppas | esperar
behöva | necesitar
använda | usar
gå in | entrar
leta efter | buscar
bära, ta med | llevar
ta, dricka | tomar
fråga | preguntar
göra | hacer (hago)
försvara | defender /ie/
bero på | depender
diskutera, argumentera | discutir
existera, finnas | existir
skriva ut, trycka | imprimir
verka, förefalla | parecer (parezco)
förbjuda | prohibir
svara | responder
översätta | traducir (traduzco)
lära sig | aprender
dricka | beber
äta | comer
förstå | comprender
springa | correr
tro | creer
vara skyldig, måste | deber
läsa | leer
bryta, ha sönder | romper
sälja | vender
återvända, komma tillbaka | volver /ue/
öppna | abrir
besluta, bestämma | decidir
upptäcka | descubrir
skriva | escribir
gå upp, stiga | subir
leva, bo | vivir
lägga, ställa, sätta | poner (pongo)
följa, fortsätta | seguir (sigo)
se | ver (veo)
gå, åka | ir (voy) <var>
vilja, älska | querer /i/
kunna | poder /ue/
be om, begära | pedir /i/
vara (tillstånd), befinna sig | estar
jag är (temp) | estoy
du är (temp) | estás
han/hon/den är (temp) | está
vi är (temp) | estamos
ni är (temp) | estáis
de är (temp) | están
vara (permanent) | ser
jag är (permanent) | soy
du är (permanent) | eres
han/hon/den är (permanent) | es
vi är (permanent) | somos
ni är (permanent) | sois
de är (permanent) | son
ha | tener (tengo) /ie/
ge | dar (doy)
säga | decir /i/
veta, kunna | saber (sé)
komma | venir (vengo) /ie/
höra | oír (oigo) /y/
jag hör | oigo
du hör | oyes
han/hon/den hör | oye
vi hör | oímos
ni hör | oís
de hör | oyen
